VOV_V,N_ids_A,N_gm_S,N_gds_S,N_gm_over_Id,P_abs_ids_A,P_gm_S,P_gm_over_Id
0.4650000000000004,0.0001189237500000002,0.0005115000000000005,1.081125000000002e-05,4.3010752688172005,0.0001189237500000001,0.0005115000000000003,4.301075268817203
0.4700000000000004,0.0001214950000000002,0.0005170000000000004,1.104500000000002e-05,4.255319148936167,0.0001214950000000002,0.0005170000000000004,4.255319148936167
0.4750000000000004,0.0001240937500000002,0.0005225000000000005,1.128125000000002e-05,4.210526315789471,0.0001240937500000002,0.0005225000000000003,4.210526315789469
0.4800000000000004,0.0001267200000000002,0.0005280000000000005,1.152000000000002e-05,4.166666666666664,0.0001267200000000002,0.0005280000000000005,4.166666666666664
0.4850000000000004,0.0001293737500000002,0.0005335000000000004,1.176125000000002e-05,4.1237113402061825,0.0001293737500000002,0.0005335000000000003,4.123711340206182
0.4900000000000004,0.0001320550000000002,0.0005390000000000005,1.200500000000002e-05,4.081632653061222,0.0001320550000000002,0.0005390000000000005,4.081632653061222
0.4950000000000004,0.0001347637500000002,0.0005445000000000005,1.225125000000002e-05,4.040404040404038,0.0001347637500000002,0.0005445000000000004,4.040404040404037
0.5000000000000003,0.0001375000000000003,0.0005500000000000006,1.250000000000002e-05,3.999999999999995,0.0001375000000000001,0.0005500000000000002,3.999999999999999
0.5050000000000003,0.0001402637500000002,0.0005555000000000004,1.275125000000002e-05,3.9603960396039577,0.0001402637500000002,0.0005555000000000004,3.9603960396039577
0.5100000000000003,0.0001430550000000003,0.0005610000000000005,1.300500000000002e-05,3.921568627450976,0.0001430550000000003,0.0005610000000000005,3.921568627450976
0.5150000000000003,0.0001458737500000002,0.0005665000000000005,1.326125000000002e-05,3.883495145631066,0.0001458737500000002,0.0005665000000000005,3.883495145631066
0.5200000000000004,0.0001487200000000003,0.0005720000000000006,1.352000000000003e-05,3.8461538461538423,0.0001487200000000002,0.0005720000000000004,3.8461538461538436
0.5250000000000004,0.0001515937500000002,0.0005775000000000005,1.378125000000002e-05,3.809523809523808,0.0001515937500000002,0.0005775000000000005,3.809523809523808
0.5300000000000004,0.0001544950000000003,0.0005830000000000006,1.404500000000003e-05,3.7735849056603743,0.0001544950000000003,0.0005830000000000006,3.7735849056603743
0.5350000000000004,0.0001574237500000002,0.0005885000000000005,1.431125000000002e-05,3.7383177570093444,0.0001574237500000002,0.0005885000000000005,3.7383177570093444
0.5400000000000004,0.0001603800000000003,0.0005940000000000006,1.458000000000002e-05,3.7037037037037,0.0001603800000000001,0.0005940000000000003,3.7037037037037037
0.5450000000000004,0.0001633637500000002,0.0005995000000000004,1.485125000000002e-05,3.6697247706422,0.0001633637500000002,0.0005995000000000004,3.6697247706422
0.5500000000000004,0.0001663750000000003,0.0006050000000000006,1.512500000000003e-05,3.6363636363636336,0.0001663750000000003,0.0006050000000000006,3.6363636363636336
0.5550000000000004,0.0001694137500000002,0.0006105000000000005,1.540125000000002e-05,3.6036036036036023,0.0001694137500000002,0.0006105000000000005,3.6036036036036023
0.5600000000000004,0.0001724800000000003,0.0006160000000000006,1.568000000000003e-05,3.5714285714285685,0.0001724800000000002,0.0006160000000000003,3.5714285714285694
0.5650000000000004,0.0001755737500000003,0.0006215000000000005,1.596125000000002e-05,3.5398230088495546,0.0001755737500000003,0.0006215000000000005,3.5398230088495546
0.5700000000000004,0.0001786950000000003,0.0006270000000000006,1.624500000000003e-05,3.5087719298245585,0.0001786950000000003,0.0006270000000000006,3.5087719298245585
0.5750000000000004,0.0001818437500000003,0.0006325000000000005,1.653125000000002e-05,3.478260869565214,0.0001818437500000003,0.0006325000000000005,3.478260869565214
0.5800000000000004,0.0001850200000000004,0.0006380000000000007,1.682000000000003e-05,3.4482758620689618,0.0001850200000000002,0.0006380000000000004,3.448275862068964
0.5850000000000004,0.0001882237500000003,0.0006435000000000005,1.711125000000003e-05,3.418803418803416,0.0001882237500000003,0.0006435000000000005,3.418803418803416
0.5900000000000004,0.0001914550000000004,0.0006490000000000007,1.740500000000003e-05,3.389830508474573,0.0001914550000000004,0.0006490000000000007,3.389830508474573
0.5950000000000004,0.0001947137500000003,0.0006545000000000006,1.770125000000003e-05,3.361344537815124,0.0001947137500000003,0.0006545000000000006,3.361344537815124
0.6,0.0001980000000000001,0.0006600000000000001,1.8e-05,3.333333333333332,0.0001979999999999999,0.0006599999999999999,3.3333333333333344
